onset	duration	trial_type	UpR	PR
10.156	4	pain	8.0	8.0
27.588	11	rating		
49.403	4	pain	6.0	7.0
66.635	11	rating		
88.5	4	pain	5.0	7.0
105.583	11	rating		
127.648	4	pain	6.0	7.0
145.113	11	rating		
166.778	4	pain	6.0	7.0
183.994	11	rating		
205.842	4	pain	5.0	6.0
222.491	11	rating		
244.856	4	pain	6.0	6.0
261.605	11	rating		
283.92	4	pain	6.0	7.0
301.469	11	rating		
323.0	4	pain	5.0	6.0
339.533	11	rating		
362.031	4	pain	6.0	7.0
378.946	11	rating		
401.128	4	pain	6.0	6.0
417.744	11	rating		
440.175	4	pain	5.0	6.0
457.208	11	rating		
479.206	4	pain	6.0	6.0
495.988	11	rating		
518.253	4	pain	5.0	6.0
535.235	11	rating		
557.284	4	pain	6.0	7.0
574.349	11	rating		
