onset	duration	trial_type	UpR	PR
10.148	4	pain	8.0	8.0
49.363	4	pain	7.0	8.0
88.546	4	pain	7.0	7.0
127.728	4	pain	8.0	9.0
167.027	4	pain	6.0	8.0
206.192	4	pain	7.0	8.0
245.408	4	pain	7.0	9.0
284.607	4	pain	7.0	9.0
323.739	4	pain	6.0	8.0
362.854	4	pain	7.0	9.0
401.97	4	pain	6.0	8.0
441.052	4	pain	6.0	9.0
480.168	4	pain	6.0	8.0
519.266	4	pain	5.0	7.0
558.365	4	pain	6.0	8.0
29.181	11	rating		
69.396	11	rating		
106.512	11	rating		
146.011	11	rating		
184.776	11	rating		
224.358	11	rating		
263.874	11	rating		
302.739	11	rating		
341.305	11	rating		
382.854	11	rating		
420.803	11	rating		
459.218	11	rating		
497.9	11	rating		
538.266	11	rating		
578.798	11	rating		
