onset	duration	trial_type	UpR	PR
10.147	4	pain	8.0	8.0
30.146	11	rating		
49.561	4	pain	9.0	9.0
67.66	11	rating		
88.892	4	pain	5.0	8.0
106.94	11	rating		
128.189	4	pain	6.0	8.0
147.804	11	rating		
167.419	4	pain	6.0	8.0
185.235	11	rating		
206.633	4	pain	7.0	9.0
225.515	11	rating		
245.83	4	pain	8.0	9.0
263.396	11	rating		
284.994	4	pain	7.0	9.0
302.493	11	rating		
324.192	4	pain	5.0	7.0
341.224	11	rating		
363.289	4	pain	7.0	10.0
380.854	11	rating		
402.486	4	pain	5.0	7.0
420.385	11	rating		
441.617	4	pain	7.0	6.0
458.349	11	rating		
480.68	4	pain	8.0	9.0
498.729	11	rating		
519.844	4	pain	8.0	10.0
537.81	11	rating		
559.008	4	pain	7.0	8.0
576.774	11	rating		
