onset	duration	trial_type	UpR	PR
10.15	4	pain	5.0	8.0
27.466	11	rating		
49.332	4	pain	5.0	8.0
67.448	11	rating		
88.497	4	pain	4.0	6.0
105.096	11	rating		
127.595	4	pain	4.0	7.0
144.594	11	rating		
166.71	4	pain	4.0	7.0
183.493	11	rating		
205.825	4	pain	4.0	7.0
222.824	11	rating		
244.957	4	pain	3.0	7.0
261.706	11	rating		
284.105	4	pain	4.0	7.0
301.104	11	rating		
323.22	4	pain	3.0	7.0
340.019	11	rating		
362.318	4	pain	3.0	7.0
379.267	11	rating		
401.416	4	pain	3.0	6.0
417.966	11	rating		
440.481	4	pain	4.0	7.0
457.297	11	rating		
479.546	4	pain	5.0	8.0
496.479	11	rating		
518.611	4	pain	5.0	8.0
535.727	11	rating		
557.726	4	pain	4.0	7.0
574.559	11	rating		
