onset	duration	trial_type	UpR	PR
10.16	4	pain	5.0	7.0
27.009	11	rating		
49.341	4	pain	5.0	7.0
66.423	11	rating		
88.438	4	pain	4.0	6.0
105.32	11	rating		
127.518	4	pain	4.0	6.0
144.267	11	rating		
166.599	4	pain	5.0	7.0
183.881	11	rating		
205.663	4	pain	4.0	6.0
222.445	11	rating		
244.727	4	pain	4.0	5.0
260.726	11	rating		
283.774	4	pain	4.0	5.0
299.773	11	rating		
322.821	4	pain	3.0	5.0
338.82	11	rating		
361.868	4	pain	4.0	6.0
378.501	11	rating		
400.916	4	pain	4.0	6.0
417.648	11	rating		
439.963	4	pain	5.0	7.0
456.795	11	rating		
479.027	4	pain	5.0	7.0
495.909	11	rating		
518.057	4	pain	4.0	6.0
534.723	11	rating		
557.088	4	pain	5.0	7.0
573.887	11	rating		
