onset	duration	trial_type	UpR	PR
10.154	4	pain	7.0	8.0
30.253	11	rating		
49.386	4	pain	6.0	5.0
65.385	11	rating		
88.384	4	pain	6.0	8.0
106.333	11	rating		
127.632	4	pain	3.0	4.0
144.248	11	rating		
166.747	4	pain	6.0	7.0
184.28	11	rating		
205.862	4	pain	6.0	7.0
223.662	11	rating		
244.977	4	pain	6.0	5.0
260.977	11	rating		
284.159	4	pain	4.0	5.0
304.608	11	rating		
323.291	4	pain	6.0	7.0
340.423	11	rating		
362.389	4	pain	7.0	7.0
380.105	11	rating		
401.504	4	pain	5.0	8.0
419.003	11	rating		
440.585	4	pain	7.0	6.0
459.351	11	rating		
479.7	4	pain	7.0	7.0
496.916	11	rating		
518.815	4	pain	5.0	5.0
537.798	11	rating		
557.864	4	pain	7.0	7.0
574.796	11	rating		
