onset	duration	trial_type	UpR	PR
10.148	4	pain	2.0	8.0
49.462	4	pain	1.0	7.0
88.71	4	pain	1.0	6.0
127.974	4	pain	2.0	7.0
167.188	4	pain	1.0	6.0
206.318	4	pain	1.0	7.0
245.432	4	pain	1.0	7.0
284.58	4	pain	2.0	7.0
323.71	4	pain	2.0	7.0
362.841	4	pain	2.0	8.0
402.005	4	pain	2.0	7.0
441.186	4	pain	3.0	8.0
480.316	4	pain	2.0	7.0
519.447	4	pain	2.0	7.0
558.561	4	pain	4.0	8.0
27.38	11	rating		
66.411	11	rating		
106.925	11	rating		
145.122	11	rating		
183.72	11	rating		
223.067	11	rating		
262.231	11	rating		
301.495	11	rating		
340.592	11	rating		
379.823	11	rating		
419.77	11	rating		
458.184	11	rating		
497.248	11	rating		
536.262	11	rating		
575.593	11	rating		
