onset	duration	trial_type	UpR	PR
10.143	4	pain	6	7
49.257	4	pain	4	7
88.404	4	pain	4	7
127.518	4	pain	5	8
166.748	4	pain	6	8
205.929	4	pain	6	8
245.093	4	pain	6	8
284.19	4	pain	6	7
323.271	4	pain	5	8
362.401	4	pain	6	8
401.515	4	pain	5	7
440.612	4	pain	6	8
479.693	4	pain	6	8
518.807	4	pain	5	7
557.954	4	pain	5	7
30.991	11	rating		
66.406	11	rating		
105.37	11	rating		
145.133	11	rating		
183.847	11	rating		
223.361	11	rating		
262.358	11	rating		
301.406	11	rating		
340.836	11	rating		
379.633	11	rating		
418.464	11	rating		
458.278	11	rating		
496.758	11	rating		
537.405	11	rating		
575.519	11	rating		
