onset	duration	trial_type	UpR	PR
10.162	4	pain	9.0	8.0
27.612	11	rating		
49.461	4	pain	7.0	5.0
67.044	11	rating		
88.627	4	pain	7.0	6.0
105.676	11	rating		
127.742	4	pain	7.0	5.0
144.975	11	rating		
166.908	4	pain	7.0	6.0
183.791	11	rating		
206.007	4	pain	8.0	7.0
223.54	11	rating		
245.189	4	pain	8.0	7.0
261.989	11	rating		
284.405	4	pain	7.0	6.0
301.071	11	rating		
323.537	4	pain	9.0	8.0
341.303	11	rating		
362.686	4	pain	8.0	7.0
379.535	11	rating		
401.818	4	pain	9.0	8.0
418.967	11	rating		
441.0	4	pain	7.0	6.0
457.75	11	rating		
480.049	4	pain	9.0	7.0
497.082	11	rating		
519.198	4	pain	8.0	7.0
535.897	11	rating		
558.33	4	pain	7.0	6.0
574.896	11	rating		
