onset	duration	trial_type	UpR	PR
10.147	4	pain	5.0	7.0
29.562	11	rating		
49.377	4	pain	4.0	5.0
66.793	11	rating		
88.508	4	pain	4.0	5.0
105.857	11	rating		
127.639	4	pain	5.0	6.0
144.554	11	rating		
166.736	4	pain	5.0	6.0
185.851	11	rating		
205.85	4	pain	5.0	6.0
223.449	11	rating		
244.997	4	pain	6.0	7.0
262.213	11	rating		
284.061	4	pain	7.0	8.0
300.943	11	rating		
323.175	4	pain	6.0	7.0
340.091	11	rating		
362.256	4	pain	5.0	6.0
382.221	11	rating		
401.42	4	pain	5.0	6.0
418.019	11	rating		
440.551	4	pain	6.0	7.0
457.316	11	rating		
479.631	4	pain	6.0	7.0
496.214	11	rating		
518.679	4	pain	5.0	6.0
536.127	11	rating		
557.759	4	pain	6.0	7.0
574.775	11	rating		
