onset	duration	trial_type	UpR	PR
10.148	4	pain	2.0	8.0
27.38	11	rating		
49.462	4	pain	1.0	7.0
66.411	11	rating		
88.71	4	pain	1.0	6.0
106.925	11	rating		
127.974	4	pain	2.0	7.0
145.122	11	rating		
167.188	4	pain	1.0	6.0
183.72	11	rating		
206.318	4	pain	1.0	7.0
223.067	11	rating		
245.432	4	pain	1.0	7.0
262.231	11	rating		
284.58	4	pain	2.0	7.0
301.495	11	rating		
323.71	4	pain	2.0	7.0
340.592	11	rating		
362.841	4	pain	2.0	8.0
379.823	11	rating		
402.005	4	pain	2.0	7.0
419.77	11	rating		
441.186	4	pain	3.0	8.0
458.184	11	rating		
480.316	4	pain	2.0	7.0
497.248	11	rating		
519.447	4	pain	2.0	7.0
536.262	11	rating		
558.561	4	pain	4.0	8.0
575.593	11	rating		
