onset	duration	trial_type	UpR	PR
10.16	4	pain	1.0	5.0
27.61	11	rating		
49.426	4	pain	1.0	4.0
66.476	11	rating		
88.625	4	pain	1.0	5.0
106.208	11	rating		
127.875	4	pain	1.0	5.0
145.657	11	rating		
167.124	4	pain	2.0	6.0
183.957	11	rating		
206.29	4	pain	2.0	6.0
222.773	11	rating		
245.439	4	pain	2.0	6.0
262.405	11	rating		
284.538	4	pain	2.0	6.0
301.171	11	rating		
323.637	4	pain	3.0	6.0
340.154	11	rating		
362.72	4	pain	3.0	6.0
379.153	11	rating		
401.802	4	pain	3.0	7.0
418.685	11	rating		
440.902	4	pain	4.0	7.0
457.751	11	rating		
479.984	4	pain	4.0	7.0
496.801	11	rating		
519.067	4	pain	4.0	7.0
536.233	11	rating		
558.133	4	pain	4.0	7.0
575.016	11	rating		
