onset	duration	trial_type	UpR	PR
10.155	4	pain	10.0	9.0
27.588	11	rating		
49.504	4	pain	9.0	8.0
66.47	11	rating		
88.737	4	pain	6.0	7.0
105.753	11	rating		
127.852	4	pain	7.0	7.0
144.669	11	rating		
167.102	4	pain	8.0	7.0
183.968	11	rating		
206.301	4	pain	7.0	7.0
223.134	11	rating		
245.467	4	pain	9.0	7.0
263.716	11	rating		
284.783	4	pain	7.0	6.0
301.249	11	rating		
323.832	4	pain	7.0	7.0
340.615	11	rating		
362.931	4	pain	9.0	7.0
379.781	11	rating		
402.064	4	pain	7.0	6.0
418.497	11	rating		
441.146	4	pain	8.0	7.0
457.929	11	rating		
480.262	4	pain	9.0	8.0
497.312	11	rating		
519.428	4	pain	7.0	7.0
536.278	11	rating		
558.527	4	pain	8.0	8.0
575.544	11	rating		
