onset	duration	trial_type	UpR	PR
10.148	4	pain	8.0	8.0
29.181	11	rating		
49.363	4	pain	7.0	8.0
69.396	11	rating		
88.546	4	pain	7.0	7.0
106.512	11	rating		
127.728	4	pain	8.0	9.0
146.011	11	rating		
167.027	4	pain	6.0	8.0
184.776	11	rating		
206.192	4	pain	7.0	8.0
224.358	11	rating		
245.408	4	pain	7.0	9.0
263.874	11	rating		
284.607	4	pain	7.0	9.0
302.739	11	rating		
323.739	4	pain	6.0	8.0
341.305	11	rating		
362.854	4	pain	7.0	9.0
382.854	11	rating		
401.97	4	pain	6.0	8.0
420.803	11	rating		
441.052	4	pain	6.0	9.0
459.218	11	rating		
480.168	4	pain	6.0	8.0
497.9	11	rating		
519.266	4	pain	5.0	7.0
538.266	11	rating		
558.365	4	pain	6.0	8.0
578.798	11	rating		
