onset	duration	trial_type	UpR	PR
10.158	4	pain	5.0	9.0
49.555	4	pain	3.0	8.0
88.902	4	pain	3.0	7.0
128.216	4	pain	3.0	8.0
167.497	4	pain	3.0	8.0
206.711	4	pain	3.0	8.0
245.908	4	pain	2.0	7.0
285.088	4	pain	3.0	8.0
324.202	4	pain	2.0	7.0
363.383	4	pain	4.0	9.0
402.53	4	pain	3.0	8.0
441.644	4	pain	3.0	8.0
480.775	4	pain	1.0	7.0
519.905	4	pain	3.0	8.0
559.069	4	pain	5.0	9.0
27.24	11	rating		
67.954	11	rating		
108.034	11	rating		
145.515	11	rating		
186.029	11	rating		
227.343	11	rating		
263.407	11	rating		
302.287	11	rating		
340.835	11	rating		
380.732	11	rating		
419.479	11	rating		
458.543	11	rating		
497.773	11	rating		
537.737	11	rating		
576.318	11	rating		
