onset	duration	trial_type	UpR	PR
10.147	4	pain	6.0	9.0
49.444	4	pain	3.0	7.0
88.608	4	pain	2.0	6.0
127.755	4	pain	3.0	7.0
166.903	4	pain	2.0	6.0
206.033	4	pain	1.0	5.0
245.147	4	pain	2.0	6.0
284.245	4	pain	3.0	6.0
323.392	4	pain	3.0	6.0
362.473	4	pain	2.0	6.0
401.57	4	pain	3.0	7.0
440.651	4	pain	3.0	6.0
479.765	4	pain	2.0	6.0
518.862	4	pain	3.0	6.0
557.943	4	pain	2.0	5.0
28.029	11	rating		
66.226	11	rating		
105.057	11	rating		
144.521	11	rating		
183.601	11	rating		
222.032	11	rating		
261.829	11	rating		
300.76	11	rating		
340.091	11	rating		
379.038	11	rating		
418.535	11	rating		
458.333	11	rating		
496.43	11	rating		
535.327	11	rating		
573.941	11	rating		
