onset	duration	trial_type	UpR	PR
10.149	4	pain	6.0	6.0
28.581	11	rating		
49.396	4	pain	6.0	5.0
66.845	11	rating		
88.51	4	pain	6.0	7.0
106.059	11	rating		
127.607	4	pain	7.0	7.0
144.74	11	rating		
166.755	4	pain	6.0	6.0
183.437	11	rating		
205.802	4	pain	6.0	7.0
222.767	11	rating		
244.866	4	pain	6.0	7.0
261.731	11	rating		
283.93	4	pain	7.0	7.0
300.962	11	rating		
323.044	4	pain	7.0	8.0
341.609	11	rating		
362.174	4	pain	6.0	6.0
378.723	11	rating		
401.238	4	pain	7.0	7.0
418.22	11	rating		
440.335	4	pain	7.0	8.0
457.984	11	rating		
479.466	4	pain	6.0	7.0
496.315	11	rating		
518.53	4	pain	7.0	7.0
535.245	11	rating		
557.61	4	pain	8.0	8.0
574.809	11	rating		
