onset	duration	trial_type	UpR	PR
10.145	4	pain	2.0	6.0
28.011	11	rating		
49.36	4	pain	2.0	7.0
67.709	11	rating		
88.524	4	pain	0.0	6.0
105.706	11	rating		
127.738	4	pain	0.0	6.0
144.871	11	rating		
166.986	4	pain	1.0	6.0
184.235	11	rating		
206.234	4	pain	0.0	6.0
223.133	11	rating		
245.465	4	pain	0.0	6.0
262.431	11	rating		
284.696	4	pain	1.0	7.0
301.712	11	rating		
323.844	4	pain	0.0	7.0
341.492	11	rating		
362.991	4	pain	0.0	7.0
380.107	11	rating		
402.172	4	pain	0.0	6.0
422.888	11	rating		
441.47	4	pain	0.0	6.0
458.169	11	rating		
480.618	4	pain	0.0	7.0
497.65	11	rating		
519.782	4	pain	0.0	6.0
536.531	11	rating		
558.913	4	pain	5.0	7.0
576.145	11	rating		
