onset	duration	trial_type	UpR	PR
10.143	4	pain	6	7
30.991	11	rating		
49.257	4	pain	4	7
66.406	11	rating		
88.404	4	pain	4	7
105.37	11	rating		
127.518	4	pain	5	8
145.133	11	rating		
166.748	4	pain	6	8
183.847	11	rating		
205.929	4	pain	6	8
223.361	11	rating		
245.093	4	pain	6	8
262.358	11	rating		
284.19	4	pain	6	7
301.406	11	rating		
323.271	4	pain	5	8
340.836	11	rating		
362.401	4	pain	6	8
379.633	11	rating		
401.515	4	pain	5	7
418.464	11	rating		
440.612	4	pain	6	8
458.278	11	rating		
479.693	4	pain	6	8
496.758	11	rating		
518.807	4	pain	5	7
537.405	11	rating		
557.954	4	pain	5	7
575.519	11	rating		
