onset	duration	trial_type	UpR	PR
10.156	4	pain	7.0	7.0
27.522	11	rating		
49.287	4	pain	5.0	6.0
66.253	11	rating		
88.385	4	pain	5.0	5.0
106.017	11	rating		
127.616	4	pain	5.0	6.0
144.998	11	rating		
166.747	4	pain	4.0	6.0
183.729	11	rating		
205.828	4	pain	4.0	6.0
222.443	11	rating		
244.909	4	pain	6.0	7.0
262.074	11	rating		
284.056	4	pain	7.0	6.0
300.972	11	rating		
323.171	4	pain	3.0	5.0
340.303	11	rating		
362.268	4	pain	6.0	7.0
378.968	11	rating		
401.35	4	pain	3.0	6.0
417.715	11	rating		
440.431	4	pain	4.0	6.0
457.996	11	rating		
479.495	4	pain	4.0	5.0
496.294	11	rating		
518.659	4	pain	3.0	6.0
535.242	11	rating		
557.74	4	pain	5.0	6.0
575.056	11	rating		
