onset	duration	trial_type	UpR	PR
10.158	4	pain	5.0	9.0
27.24	11	rating		
49.555	4	pain	3.0	8.0
67.954	11	rating		
88.902	4	pain	3.0	7.0
108.034	11	rating		
128.216	4	pain	3.0	8.0
145.515	11	rating		
167.497	4	pain	3.0	8.0
186.029	11	rating		
206.711	4	pain	3.0	8.0
227.343	11	rating		
245.908	4	pain	2.0	7.0
263.407	11	rating		
285.088	4	pain	3.0	8.0
302.287	11	rating		
324.202	4	pain	2.0	7.0
340.835	11	rating		
363.383	4	pain	4.0	9.0
380.732	11	rating		
402.53	4	pain	3.0	8.0
419.479	11	rating		
441.644	4	pain	3.0	8.0
458.543	11	rating		
480.775	4	pain	1.0	7.0
497.773	11	rating		
519.905	4	pain	3.0	8.0
537.737	11	rating		
559.069	4	pain	5.0	9.0
576.318	11	rating		
