onset	duration	trial_type	UpR	PR
10.154	4	pain	6.0	7.0
49.385	4	pain	6.0	7.0
88.516	4	pain	5.0	7.0
127.763	4	pain	5.0	6.0
167.061	4	pain	5.0	6.0
206.259	4	pain	5.0	6.0
245.407	4	pain	4.0	6.0
284.554	4	pain	4.0	5.0
323.685	4	pain	5.0	6.0
362.85	4	pain	5.0	6.0
401.914	4	pain	5.0	6.0
441.045	4	pain	5.0	6.0
480.176	4	pain	5.0	6.0
519.324	4	pain	4.0	6.0
558.388	4	pain	5.0	6.0
27.686	11	rating		
67.55	11	rating		
107.065	11	rating		
147.429	11	rating		
185.043	11	rating		
223.641	11	rating		
262.306	11	rating		
302.736	11	rating		
342.634	11	rating		
379.765	11	rating		
419.83	11	rating		
459.511	11	rating		
497.292	11	rating		
537.073	11	rating		
575.27	11	rating		
