onset	duration	trial_type	UpR	PR
10.153	4	pain	4.0	6.0
49.384	4	pain	3.0	6.0
88.514	4	pain	4.0	6.0
127.678	4	pain	0.0	1.0
166.976	4	pain	5.0	7.0
206.123	4	pain	5.0	7.0
245.254	4	pain	5.0	7.0
284.334	4	pain	5.0	7.0
323.448	4	pain	6.0	7.0
362.546	4	pain	6.0	8.0
401.693	4	pain	4.0	6.0
440.757	4	pain	5.0	7.0
479.838	4	pain	6.0	8.0
518.935	4	pain	4.0	6.0
557.999	4	pain	5.0	7.0
27.652	11	rating		
66.232	11	rating		
105.413	11	rating		
145.377	11	rating		
184.691	11	rating		
223.722	11	rating		
263.119	11	rating		
302.183	11	rating		
341.714	11	rating		
382.711	11	rating		
418.458	11	rating		
457.572	11	rating		
496.82	11	rating		
535.634	11	rating		
574.698	11	rating		
