onset	duration	trial_type	UpR	PR
10.16	4	pain	5.0	7.0
49.341	4	pain	5.0	7.0
88.438	4	pain	4.0	6.0
127.518	4	pain	4.0	6.0
166.599	4	pain	5.0	7.0
205.663	4	pain	4.0	6.0
244.727	4	pain	4.0	5.0
283.774	4	pain	4.0	5.0
322.821	4	pain	3.0	5.0
361.868	4	pain	4.0	6.0
400.916	4	pain	4.0	6.0
439.963	4	pain	5.0	7.0
479.027	4	pain	5.0	7.0
518.057	4	pain	4.0	6.0
557.088	4	pain	5.0	7.0
27.009	11	rating		
66.423	11	rating		
105.32	11	rating		
144.267	11	rating		
183.881	11	rating		
222.445	11	rating		
260.726	11	rating		
299.773	11	rating		
338.82	11	rating		
378.501	11	rating		
417.648	11	rating		
456.795	11	rating		
495.909	11	rating		
534.723	11	rating		
573.887	11	rating		
