onset	duration	trial_type	UpR	PR
10.162	4	pain	9.0	8.0
49.461	4	pain	7.0	5.0
88.627	4	pain	7.0	6.0
127.742	4	pain	7.0	5.0
166.908	4	pain	7.0	6.0
206.007	4	pain	8.0	7.0
245.189	4	pain	8.0	7.0
284.405	4	pain	7.0	6.0
323.537	4	pain	9.0	8.0
362.686	4	pain	8.0	7.0
401.818	4	pain	9.0	8.0
441.0	4	pain	7.0	6.0
480.049	4	pain	9.0	7.0
519.198	4	pain	8.0	7.0
558.33	4	pain	7.0	6.0
27.612	11	rating		
67.044	11	rating		
105.676	11	rating		
144.975	11	rating		
183.791	11	rating		
223.54	11	rating		
261.989	11	rating		
301.071	11	rating		
341.303	11	rating		
379.535	11	rating		
418.967	11	rating		
457.75	11	rating		
497.082	11	rating		
535.897	11	rating		
574.896	11	rating		
