onset	duration	trial_type	UpR	PR
10.149	4	pain	6.0	8.0
49.43	4	pain	5.0	6.0
88.694	4	pain	5.0	6.0
127.807	4	pain	6.0	6.0
166.888	4	pain	5.0	6.0
206.069	4	pain	5.0	7.0
245.216	4	pain	5.0	6.0
284.28	4	pain	5.0	5.0
323.377	4	pain	4.0	4.0
362.424	4	pain	5.0	5.0
401.521	4	pain	5.0	5.0
440.635	4	pain	4.0	6.0
479.699	4	pain	5.0	5.0
518.78	4	pain	5.0	6.0
557.844	4	pain	4.0	5.0
30.648	11	rating		
67.145	11	rating		
105.376	11	rating		
144.356	11	rating		
184.22	11	rating		
223.384	11	rating		
261.981	11	rating		
301.078	11	rating		
339.776	11	rating		
379.856	11	rating		
419.303	11	rating		
457.517	11	rating		
496.948	11	rating		
536.828	11	rating		
574.542	11	rating		
