onset	duration	trial_type	UpR	PR
10.142	4	pain	10	9
28.074	11	rating		
49.489	4	pain	9	10
68.954	11	rating		
88.82	4	pain	9	9
107.618	11	rating		
128.133	4	pain	7	8
145.965	11	rating		
167.297	4	pain	7	8
184.579	11	rating		
206.478	4	pain	8	9
226.426	11	rating		
245.692	4	pain	7	8
262.84	11	rating		
284.839	4	pain	6	7
301.804	11	rating		
323.969	4	pain	6	7
340.835	11	rating		
363.067	4	pain	6	7
379.915	11	rating		
402.147	4	pain	6	7
419.796	11	rating		
441.228	4	pain	7	7
458.227	11	rating		
480.308	4	pain	7	8
500.007	11	rating		
519.456	4	pain	7	8
537.671	11	rating		
558.619	4	pain	6	7
575.702	11	rating		
