onset	duration	trial_type	UpR	PR
10.149	4	pain	8.0	9.0
27.698	11	rating		
49.38	4	pain	8.0	8.0
66.978	11	rating		
88.71	4	pain	7.0	7.0
105.592	11	rating		
127.857	4	pain	8.0	7.0
144.656	11	rating		
167.054	4	pain	7.0	6.0
184.62	11	rating		
206.252	4	pain	7.0	6.0
222.734	11	rating		
245.332	4	pain	6.0	5.0
262.764	11	rating		
284.496	4	pain	5.0	6.0
302.028	11	rating		
323.66	4	pain	6.0	7.0
341.792	11	rating		
362.857	4	pain	7.0	7.0
380.373	11	rating		
402.004	4	pain	5.0	6.0
419.07	11	rating		
441.118	4	pain	7.0	8.0
458.034	11	rating		
480.216	4	pain	6.0	7.0
497.464	11	rating		
519.296	4	pain	4.0	6.0
538.345	11	rating		
558.443	4	pain	7.0	8.0
575.692	11	rating		
