onset	duration	trial_type	UpR	PR
10.144	4	pain	8.0	8.0
28.593	11	rating		
49.409	4	pain	6.0	7.0
66.341	11	rating		
88.607	4	pain	5.0	6.0
105.14	11	rating		
127.705	4	pain	5.0	6.0
144.655	11	rating		
166.854	4	pain	4.0	5.0
185.219	11	rating		
205.969	4	pain	7.0	7.0
222.951	11	rating		
245.133	4	pain	7.0	7.0
262.133	11	rating		
284.282	4	pain	6.0	6.0
301.181	11	rating		
323.33	4	pain	7.0	7.0
340.313	11	rating		
362.428	4	pain	8.0	8.0
379.678	11	rating		
401.627	4	pain	7.0	7.0
421.659	11	rating		
440.775	4	pain	7.0	7.0
458.574	11	rating		
479.873	4	pain	7.0	7.0
500.606	11	rating		
519.021	4	pain	8.0	8.0
536.621	11	rating		
558.17	4	pain	7.0	7.0
575.102	11	rating		
