onset	duration	trial_type	UpR	PR
10.156	4	pain	7.0	9.0
49.387	4	pain	6.0	8.0
88.635	4	pain	6.0	8.0
127.799	4	pain	6.0	7.0
166.93	4	pain	6.0	7.0
206.044	4	pain	5.0	6.0
245.175	4	pain	5.0	6.0
284.29	4	pain	5.0	6.0
323.354	4	pain	4.0	5.0
362.485	4	pain	4.0	5.0
401.549	4	pain	1.0	4.0
440.68	4	pain	1.0	4.0
479.811	4	pain	2.0	4.0
518.942	4	pain	1.0	4.0
558.073	4	pain	0.0	3.0
27.855	11	rating		
68.002	11	rating		
105.567	11	rating		
144.598	11	rating		
183.979	11	rating		
222.66	11	rating		
261.624	11	rating		
300.922	11	rating		
340.253	11	rating		
379.317	11	rating		
418.432	11	rating		
457.013	11	rating		
496.194	11	rating		
535.308	11	rating		
574.839	11	rating		
