onset	duration	trial_type	UpR	PR
10.149	4	pain	8.0	9.0
49.38	4	pain	8.0	8.0
88.71	4	pain	7.0	7.0
127.857	4	pain	8.0	7.0
167.054	4	pain	7.0	6.0
206.252	4	pain	7.0	6.0
245.332	4	pain	6.0	5.0
284.496	4	pain	5.0	6.0
323.66	4	pain	6.0	7.0
362.857	4	pain	7.0	7.0
402.004	4	pain	5.0	6.0
441.118	4	pain	7.0	8.0
480.216	4	pain	6.0	7.0
519.296	4	pain	4.0	6.0
558.443	4	pain	7.0	8.0
27.698	11	rating		
66.978	11	rating		
105.592	11	rating		
144.656	11	rating		
184.62	11	rating		
222.734	11	rating		
262.764	11	rating		
302.028	11	rating		
341.792	11	rating		
380.373	11	rating		
419.07	11	rating		
458.034	11	rating		
497.464	11	rating		
538.345	11	rating		
575.692	11	rating		
