onset	duration	trial_type	UpR	PR
10.145	4	pain	2.0	6.0
49.36	4	pain	2.0	7.0
88.524	4	pain	0.0	6.0
127.738	4	pain	0.0	6.0
166.986	4	pain	1.0	6.0
206.234	4	pain	0.0	6.0
245.465	4	pain	0.0	6.0
284.696	4	pain	1.0	7.0
323.844	4	pain	0.0	7.0
362.991	4	pain	0.0	7.0
402.172	4	pain	0.0	6.0
441.47	4	pain	0.0	6.0
480.618	4	pain	0.0	7.0
519.782	4	pain	0.0	6.0
558.913	4	pain	5.0	7.0
28.011	11	rating		
67.709	11	rating		
105.706	11	rating		
144.871	11	rating		
184.235	11	rating		
223.133	11	rating		
262.431	11	rating		
301.712	11	rating		
341.492	11	rating		
380.107	11	rating		
422.888	11	rating		
458.169	11	rating		
497.65	11	rating		
536.531	11	rating		
576.145	11	rating		
