onset	duration	trial_type	UpR	PR
10.158	4	pain	4.0	8.0
27.606	11	rating		
49.421	4	pain	3.0	7.0
66.37	11	rating		
88.602	4	pain	5.0	8.0
105.667	11	rating		
127.833	4	pain	3.0	6.0
144.948	11	rating		
166.963	4	pain	4.0	7.0
184.095	11	rating		
206.044	4	pain	3.0	6.0
224.892	11	rating		
245.174	4	pain	4.0	6.0
265.923	11	rating		
284.338	4	pain	4.0	7.0
302.037	11	rating		
323.452	4	pain	4.0	6.0
340.167	11	rating		
362.499	4	pain	4.0	7.0
379.548	11	rating		
401.58	4	pain	3.0	7.0
419.478	11	rating		
440.694	4	pain	4.0	7.0
459.626	11	rating		
479.774	4	pain	4.0	6.0
498.306	11	rating		
518.838	4	pain	3.0	7.0
536.553	11	rating		
557.935	4	pain	4.0	7.0
574.984	11	rating		
