onset	duration	trial_type	UpR	PR
10.151	4	pain	7.0	7.0
27.483	11	rating		
49.415	4	pain	7.0	7.0
66.28	11	rating		
88.578	4	pain	5.0	6.0
105.094	11	rating		
127.709	4	pain	5.0	5.0
145.324	11	rating		
166.839	4	pain	6.0	6.0
186.554	11	rating		
206.003	4	pain	6.0	6.0
222.568	11	rating		
245.05	4	pain	4.0	5.0
262.698	11	rating		
284.097	4	pain	4.0	5.0
301.445	11	rating		
323.177	4	pain	5.0	7.0
343.909	11	rating		
362.274	4	pain	6.0	7.0
382.189	11	rating		
401.488	4	pain	6.0	7.0
419.203	11	rating		
440.618	4	pain	5.0	6.0
461.55	11	rating		
479.815	4	pain	6.0	7.0
500.297	11	rating		
518.928	4	pain	5.0	6.0
535.511	11	rating		
558.025	4	pain	5.0	7.0
577.557	11	rating		
