onset	duration	trial_type	UpR	PR
10.152	4	pain	7.0	8.0
27.817	11	rating		
49.332	4	pain	6.0	7.0
66.598	11	rating		
88.446	4	pain	6.0	7.0
105.845	11	rating		
127.577	4	pain	6.0	7.0
144.525	11	rating		
166.707	4	pain	7.0	8.0
184.489	11	rating		
205.921	4	pain	5.0	6.0
222.587	11	rating		
245.052	4	pain	5.0	6.0
261.75	11	rating		
284.165	4	pain	6.0	7.0
301.181	11	rating		
323.263	4	pain	5.0	6.0
339.928	11	rating		
362.327	4	pain	6.0	7.0
379.742	11	rating		
401.39	4	pain	5.0	6.0
417.989	11	rating		
440.488	4	pain	4.0	5.0
457.986	11	rating		
479.585	4	pain	5.0	6.0
496.15	11	rating		
518.665	4	pain	6.0	7.0
535.814	11	rating		
557.746	4	pain	6.0	6.0
574.262	11	rating		
