onset	duration	trial_type	UpR	PR
10.155	4	pain	6.0	8.0
27.803	11	rating		
49.335	4	pain	3.0	5.0
67.467	11	rating		
88.466	4	pain	2.0	5.0
106.198	11	rating		
127.663	4	pain	4.0	6.0
144.595	11	rating		
166.827	4	pain	4.0	6.0
186.259	11	rating		
205.991	4	pain	4.0	7.0
223.09	11	rating		
245.105	4	pain	5.0	7.0
262.753	11	rating		
284.202	4	pain	4.0	6.0
300.651	11	rating		
323.266	4	pain	3.0	6.0
339.865	11	rating		
362.346	4	pain	5.0	7.0
379.562	11	rating		
401.443	4	pain	3.0	6.0
417.892	11	rating		
440.524	4	pain	4.0	7.0
457.889	11	rating		
479.605	4	pain	6.0	7.0
496.637	11	rating		
518.668	4	pain	4.0	6.0
535.134	11	rating		
557.732	4	pain	4.0	7.0
574.514	11	rating		
