onset	duration	trial_type	UpR	PR
10.152	4	pain	8.0	8.0
27.201	11	rating		
49.367	4	pain	7.0	7.0
66.85	11	rating		
88.549	4	pain	7.0	7.0
105.648	11	rating		
127.68	4	pain	7.0	7.0
144.679	11	rating		
166.845	4	pain	8.0	8.0
183.844	11	rating		
206.11	4	pain	8.0	8.0
223.109	11	rating		
245.358	4	pain	8.0	8.0
262.324	11	rating		
284.507	4	pain	8.0	8.0
301.739	11	rating		
323.655	4	pain	8.0	8.0
340.788	11	rating		
362.837	4	pain	7.0	7.0
379.852	11	rating		
401.951	4	pain	7.0	7.0
418.601	11	rating		
441.033	4	pain	8.0	8.0
458.216	11	rating		
480.165	4	pain	8.0	8.0
497.297	11	rating		
519.33	4	pain	7.0	7.0
538.545	11	rating		
558.495	4	pain	8.0	8.0
576.16	11	rating		
