onset	duration	trial_type	UpR	PR
10.151	4	pain	5.0	8.0
27.101	11	rating		
49.35	4	pain	3.0	7.0
66.016	11	rating		
88.581	4	pain	1.0	7.0
105.531	11	rating		
127.846	4	pain	1.0	6.0
144.196	11	rating		
167.045	4	pain	0.0	6.0
183.51	11	rating		
206.276	4	pain	0.0	6.0
223.092	11	rating		
245.524	4	pain	1.0	6.0
261.89	11	rating		
284.656	4	pain	0.0	5.0
301.322	11	rating		
323.821	4	pain	1.0	7.0
340.404	11	rating		
362.986	4	pain	4.0	8.0
379.835	11	rating		
402.084	4	pain	0.0	7.0
418.7	11	rating		
441.266	4	pain	0.0	7.0
457.915	11	rating		
480.447	4	pain	1.0	8.0
498.013	11	rating		
519.646	4	pain	1.0	7.0
537.578	11	rating		
558.827	4	pain	0.0	7.0
575.793	11	rating		
