onset	duration	trial_type	UpR	PR
10.142	4	pain	10	9
49.489	4	pain	9	10
88.82	4	pain	9	9
128.133	4	pain	7	8
167.297	4	pain	7	8
206.478	4	pain	8	9
245.692	4	pain	7	8
284.839	4	pain	6	7
323.969	4	pain	6	7
363.067	4	pain	6	7
402.147	4	pain	6	7
441.228	4	pain	7	7
480.308	4	pain	7	8
519.456	4	pain	7	8
558.619	4	pain	6	7
28.074	11	rating		
68.954	11	rating		
107.618	11	rating		
145.965	11	rating		
184.579	11	rating		
226.426	11	rating		
262.84	11	rating		
301.804	11	rating		
340.835	11	rating		
379.915	11	rating		
419.796	11	rating		
458.227	11	rating		
500.007	11	rating		
537.671	11	rating		
575.702	11	rating		
