onset	duration	trial_type	UpR	PR
10.157	4	pain	8.0	8.0
49.421	4	pain	7.0	7.0
88.602	4	pain	6.0	6.0
127.682	4	pain	5.0	5.0
166.813	4	pain	6.0	6.0
205.86	4	pain	7.0	7.0
244.957	4	pain	7.0	7.0
284.104	4	pain	8.0	8.0
323.235	4	pain	6.0	6.0
362.282	4	pain	8.0	8.0
401.413	4	pain	7.0	7.0
440.527	4	pain	0.0	0.0
479.757	4	pain	3.0	4.0
518.821	4	pain	3.0	5.0
557.868	4	pain	4.0	0.0
27.073	11	rating		
66.103	11	rating		
105.067	11	rating		
145.031	11	rating		
183.328	11	rating		
222.842	11	rating		
261.856	11	rating		
301.403	11	rating		
339.667	11	rating		
379.464	11	rating		
418.578	11	rating		
459.892	11	rating		
496.539	11	rating		
534.82	11	rating		
575.684	11	rating		
