onset	duration	trial_type	UpR	PR
10.193	4	pain	8.0	8.0
49.473	4	pain	7.0	7.0
88.62	4	pain	6.0	6.0
127.717	4	pain	6.0	6.0
166.831	4	pain	7.0	6.0
205.945	4	pain	6.0	6.0
245.026	4	pain	6.0	6.0
284.106	4	pain	6.0	6.0
323.17	4	pain	5.0	5.0
362.284	4	pain	5.0	5.0
401.398	4	pain	4.0	4.0
440.462	4	pain	4.0	4.0
479.542	4	pain	4.0	4.0
518.623	4	pain	4.0	4.0
557.687	4	pain	4.0	4.0
27.558	11	rating		
66.638	11	rating		
105.169	11	rating		
144.6	11	rating		
183.763	11	rating		
222.427	11	rating		
261.725	11	rating		
301.038	11	rating		
340.452	11	rating		
379.416	11	rating		
418.313	11	rating		
456.977	11	rating		
496.058	11	rating		
534.972	11	rating		
574.302	11	rating		
