onset	duration	trial_type	UpR	PR
10.153	4	pain	4.0	5.0
28.986	11	rating		
49.402	4	pain	5.0	6.0
66.951	11	rating		
88.517	4	pain	6.0	7.0
106.067	11	rating		
127.633	4	pain	7.0	8.0
147.665	11	rating		
166.832	4	pain	8.0	9.0
184.631	11	rating		
206.214	4	pain	8.0	9.0
224.347	11	rating		
245.496	4	pain	9.0	9.0
263.712	11	rating		
284.728	4	pain	8.0	8.0
302.461	11	rating		
323.877	4	pain	8.0	9.0
342.26	11	rating		
363.059	4	pain	7.0	9.0
381.025	11	rating		
402.208	4	pain	8.0	9.0
420.024	11	rating		
441.39	4	pain	8.0	8.0
458.94	11	rating		
480.523	4	pain	8.0	9.0
498.272	11	rating		
519.705	4	pain	8.0	9.0
537.738	11	rating		
558.87	4	pain	7.0	9.0
577.153	11	rating		
