onset	duration	trial_type	UpR	PR
10.151	4	pain	7.0	7.0
49.415	4	pain	7.0	7.0
88.578	4	pain	5.0	6.0
127.709	4	pain	5.0	5.0
166.839	4	pain	6.0	6.0
206.003	4	pain	6.0	6.0
245.05	4	pain	4.0	5.0
284.097	4	pain	4.0	5.0
323.177	4	pain	5.0	7.0
362.274	4	pain	6.0	7.0
401.488	4	pain	6.0	7.0
440.618	4	pain	5.0	6.0
479.815	4	pain	6.0	7.0
518.928	4	pain	5.0	6.0
558.025	4	pain	5.0	7.0
27.483	11	rating		
66.28	11	rating		
105.094	11	rating		
145.324	11	rating		
186.554	11	rating		
222.568	11	rating		
262.698	11	rating		
301.445	11	rating		
343.909	11	rating		
382.189	11	rating		
419.203	11	rating		
461.55	11	rating		
500.297	11	rating		
535.511	11	rating		
577.557	11	rating		
