onset	duration	trial_type	UpR	PR
10.153	4	pain	4.0	6.0
27.652	11	rating		
49.384	4	pain	3.0	6.0
66.232	11	rating		
88.514	4	pain	4.0	6.0
105.413	11	rating		
127.678	4	pain	0.0	1.0
145.377	11	rating		
166.976	4	pain	5.0	7.0
184.691	11	rating		
206.123	4	pain	5.0	7.0
223.722	11	rating		
245.254	4	pain	5.0	7.0
263.119	11	rating		
284.334	4	pain	5.0	7.0
302.183	11	rating		
323.448	4	pain	6.0	7.0
341.714	11	rating		
362.546	4	pain	6.0	8.0
382.711	11	rating		
401.693	4	pain	4.0	6.0
418.458	11	rating		
440.757	4	pain	5.0	7.0
457.572	11	rating		
479.838	4	pain	6.0	8.0
496.82	11	rating		
518.935	4	pain	4.0	6.0
535.634	11	rating		
557.999	4	pain	5.0	7.0
574.698	11	rating		
