onset	duration	trial_type	UpR	PR
10.144	4	pain	8.0	7.0
27.976	11	rating		
49.342	4	pain	5.0	5.0
67.64	11	rating		
88.472	4	pain	5.0	5.0
105.721	11	rating		
127.619	4	pain	7.0	6.0
145.001	11	rating		
166.733	4	pain	6.0	5.0
183.699	11	rating		
205.847	4	pain	6.0	5.0
223.179	11	rating		
244.961	4	pain	5.0	5.0
263.51	11	rating		
284.125	4	pain	5.0	4.0
300.774	11	rating		
323.139	4	pain	6.0	6.0
340.554	11	rating		
362.203	4	pain	6.0	6.0
380.435	11	rating		
401.267	4	pain	6.0	5.0
418.465	11	rating		
440.347	4	pain	7.0	6.0
457.329	11	rating		
479.444	4	pain	6.0	5.0
496.743	11	rating		
518.525	4	pain	6.0	6.0
534.89	11	rating		
557.572	4	pain	7.0	7.0
574.371	11	rating		
