onset	duration	trial_type	UpR	PR
10.146	4	pain	5.0	7.0
26.978	11	rating		
49.31	4	pain	4.0	7.0
66.308	11	rating		
88.523	4	pain	5.0	7.0
105.422	11	rating		
127.771	4	pain	4.0	6.0
146.753	11	rating		
166.901	4	pain	3.0	6.0
183.6	11	rating		
205.982	4	pain	4.0	7.0
223.247	11	rating		
245.046	4	pain	3.0	6.0
261.811	11	rating		
284.126	4	pain	2.0	5.0
301.775	11	rating		
323.257	4	pain	3.0	6.0
339.922	11	rating		
362.337	4	pain	1.0	5.0
380.336	11	rating		
401.484	4	pain	5.0	6.0
418.233	11	rating		
440.565	4	pain	1.0	4.0
457.214	11	rating		
479.712	4	pain	3.0	6.0
497.394	11	rating		
518.926	4	pain	2.0	5.0
536.425	11	rating		
558.073	4	pain	2.0	6.0
574.705	11	rating		
