onset	duration	trial_type	UpR	PR
10.152	4	pain	7.0	8.0
30.484	11	rating		
49.349	4	pain	9.0	9.0
67.198	11	rating		
88.647	4	pain	6.0	7.0
105.846	11	rating		
127.761	4	pain	5.0	6.0
144.526	11	rating		
166.975	4	pain	6.0	6.0
183.54	11	rating		
206.139	4	pain	5.0	6.0
222.804	11	rating		
245.236	4	pain	7.0	7.0
262.118	11	rating		
284.45	4	pain	6.0	6.0
301.099	11	rating		
323.497	4	pain	6.0	7.0
340.463	11	rating		
362.578	4	pain	8.0	8.0
379.694	11	rating		
401.742	4	pain	6.0	6.0
419.141	11	rating		
440.789	4	pain	6.0	7.0
457.788	11	rating		
479.87	4	pain	6.0	6.0
496.602	11	rating		
518.934	4	pain	6.0	6.0
535.5	11	rating		
557.998	4	pain	6.0	7.0
574.914	11	rating		
