onset	duration	trial_type	UpR	PR
10.156	4	pain	8.0	9.0
27.588	11	rating		
49.453	4	pain	7.0	8.0
66.836	11	rating		
88.617	4	pain	7.0	8.0
105.983	11	rating		
127.831	4	pain	7.0	7.0
147.93	11	rating		
167.045	4	pain	8.0	9.0
184.577	11	rating		
206.326	4	pain	8.0	9.0
226.441	11	rating		
245.656	4	pain	8.0	9.0
262.822	11	rating		
284.837	4	pain	8.0	9.0
301.869	11	rating		
324.001	4	pain	8.0	8.0
340.916	11	rating		
363.131	4	pain	8.0	9.0
380.23	11	rating		
402.278	4	pain	8.0	9.0
419.327	11	rating		
441.442	4	pain	8.0	9.0
458.441	11	rating		
480.589	4	pain	8.0	9.0
497.705	11	rating		
519.77	4	pain	9.0	9.0
537.035	11	rating		
558.951	4	pain	8.0	8.0
575.749	11	rating		
